time(s)	-75.0 Oe signal (V)	-75.0 Oe bias wfm (V)	-75.0 Oe sat wfm (V)	-70.0 Oe signal (V)	-70.0 Oe bias wfm (V)	-70.0 Oe sat wfm (V)	-65.0 Oe signal (V)	-65.0 Oe bias wfm (V)	-65.0 Oe sat wfm (V)	-60.0 Oe signal (V)	-60.0 Oe bias wfm (V)	-60.0 Oe sat wfm (V)	-55.0 Oe signal (V)	-55.0 Oe bias wfm (V)	-55.0 Oe sat wfm (V)	-50.0 Oe signal (V)	-50.0 Oe bias wfm (V)	-50.0 Oe sat wfm (V)	-45.0 Oe signal (V)	-45.0 Oe bias wfm (V)	-45.0 Oe sat wfm (V)	-40.0 Oe signal (V)	-40.0 Oe bias wfm (V)	-40.0 Oe sat wfm (V)	-35.0 Oe signal (V)	-35.0 Oe bias wfm (V)	-35.0 Oe sat wfm (V)	-30.0 Oe signal (V)	-30.0 Oe bias wfm (V)	-30.0 Oe sat wfm (V)	-25.0 Oe signal (V)	-25.0 Oe bias wfm (V)	-25.0 Oe sat wfm (V)	-20.0 Oe signal (V)	-20.0 Oe bias wfm (V)	-20.0 Oe sat wfm (V)	-15.0 Oe signal (V)	-15.0 Oe bias wfm (V)	-15.0 Oe sat wfm (V)	-10.0 Oe signal (V)	-10.0 Oe bias wfm (V)	-10.0 Oe sat wfm (V)	-5.0 Oe signal (V)	-5.0 Oe bias wfm (V)	-5.0 Oe sat wfm (V)	0.0 Oe signal (V)	0.0 Oe bias wfm (V)	0.0 Oe sat wfm (V)	5.0 Oe signal (V)	5.0 Oe bias wfm (V)	5.0 Oe sat wfm (V)	10.0 Oe signal (V)	10.0 Oe bias wfm (V)	10.0 Oe sat wfm (V)	15.0 Oe signal (V)	15.0 Oe bias wfm (V)	15.0 Oe sat wfm (V)	20.0 Oe signal (V)	20.0 Oe bias wfm (V)	20.0 Oe sat wfm (V)	25.0 Oe signal (V)	25.0 Oe bias wfm (V)	25.0 Oe sat wfm (V)	30.0 Oe signal (V)	30.0 Oe bias wfm (V)	30.0 Oe sat wfm (V)	35.0 Oe signal (V)	35.0 Oe bias wfm (V)	35.0 Oe sat wfm (V)	40.0 Oe signal (V)	40.0 Oe bias wfm (V)	40.0 Oe sat wfm (V)	45.0 Oe signal (V)	45.0 Oe bias wfm (V)	45.0 Oe sat wfm (V)	50.0 Oe signal (V)	50.0 Oe bias wfm (V)	50.0 Oe sat wfm (V)	55.0 Oe signal (V)	55.0 Oe bias wfm (V)	55.0 Oe sat wfm (V)	60.0 Oe signal (V)	60.0 Oe bias wfm (V)	60.0 Oe sat wfm (V)	65.0 Oe signal (V)	65.0 Oe bias wfm (V)	65.0 Oe sat wfm (V)	70.0 Oe signal (V)	70.0 Oe bias wfm (V)	70.0 Oe sat wfm (V)	75.0 Oe signal (V)	75.0 Oe bias wfm (V)	75.0 Oe sat wfm (V)
3.604000E-8	8.300000E-5	-5.200000E-5	-0.000135	5.700000E-5	-3.300000E-5	-9.000000E-5	-5.100000E-5	-6.500000E-5	-1.400000E-5	6.400000E-5	-3.300000E-5	-9.700000E-5	3.800000E-5	-5.200000E-5	-9.000000E-5	2.500000E-5	-6.500000E-5	-9.000000E-5	4.500000E-5	-3.300000E-5	-7.800000E-5	-6.000000E-6	-2.000000E-5	-1.400000E-5	-4.400000E-5	-0.000109	-6.500000E-5	3.800000E-5	-4.600000E-5	-8.400000E-5	-7.000000E-5	-0.000141	-7.100000E-5	3.800000E-5	-4.600000E-5	-8.400000E-5	-2.600000E-5	-8.400000E-5	-5.800000E-5	1.300000E-5	-7.100000E-5	-8.400000E-5	0.000000	-8.400000E-5	-8.400000E-5	5.700000E-5	-9.700000E-5	-0.000154	3.200000E-5	-7.100000E-5	-0.000103	-7.700000E-5	-7.800000E-5	-1.000000E-6	1.200000E-5	-4.600000E-5	-5.800000E-5	-3.900000E-5	-9.700000E-5	-5.800000E-5	-5.100000E-5	-8.400000E-5	-3.300000E-5	2.600000E-5	-5.200000E-5	-7.800000E-5	6.000000E-6	-9.700000E-5	-0.000103	-3.800000E-5	-0.000109	-7.100000E-5	-3.100000E-5	-0.000128	-9.700000E-5	7.000000E-6	-5.800000E-5	-6.500000E-5	1.300000E-5	-9.000000E-5	-0.000103	-7.000000E-6	-7.800000E-5	-7.100000E-5	-3.800000E-5	-0.000116	-7.800000E-5	-3.800000E-5	-0.000103	-6.500000E-5	6.300000E-5	-4.600000E-5	-0.000109
3.605953E-8	-4.500000E-5	-4.600000E-5	-1.000000E-6	1.300000E-5	-5.200000E-5	-6.500000E-5	1.900000E-5	-1.400000E-5	-3.300000E-5	-2.500000E-5	-7.100000E-5	-4.600000E-5	6.300000E-5	-2.700000E-5	-9.000000E-5	-3.200000E-5	-7.800000E-5	-4.600000E-5	7.000000E-5	3.100000E-5	-3.900000E-5	6.000000E-6	2.400000E-5	1.800000E-5	1.300000E-5	-3.300000E-5	-4.600000E-5	-1.300000E-5	-3.300000E-5	-2.000000E-5	-3.200000E-5	-0.000103	-7.100000E-5	4.500000E-5	-1.000000E-6	-4.600000E-5	3.100000E-5	-2.700000E-5	-5.800000E-5	2.600000E-5	-2.000000E-5	-4.600000E-5	0.000114	-8.000000E-6	-0.000122	-1.900000E-5	-0.000103	-8.400000E-5	-8.900000E-5	-7.100000E-5	1.800000E-5	4.500000E-5	-2.000000E-5	-6.500000E-5	-7.600000E-5	-8.400000E-5	-8.000000E-6	6.400000E-5	-1.400000E-5	-7.800000E-5	4.500000E-5	-3.300000E-5	-7.800000E-5	0.000000	-4.600000E-5	-4.600000E-5	7.000000E-5	-3.900000E-5	-0.000109	2.600000E-5	-5.800000E-5	-8.400000E-5	-1.900000E-5	-2.700000E-5	-8.000000E-6	0.000000	-2.000000E-5	-2.000000E-5	3.900000E-5	-3.900000E-5	-7.800000E-5	6.000000E-6	-7.800000E-5	-8.400000E-5	7.000000E-5	5.000000E-6	-6.500000E-5	1.200000E-5	-4.600000E-5	-5.800000E-5	-3.200000E-5	-7.100000E-5	-3.900000E-5
3.607906E-8	2.600000E-5	1.200000E-5	-1.400000E-5	2.500000E-5	5.000000E-6	-2.000000E-5	-3.900000E-5	-2.700000E-5	1.200000E-5	0.000000	-1.400000E-5	-1.400000E-5	-3.800000E-5	-1.400000E-5	2.400000E-5	1.300000E-5	1.800000E-5	5.000000E-6	7.000000E-5	5.000000E-6	-6.500000E-5	5.100000E-5	2.400000E-5	-2.700000E-5	7.600000E-5	5.000000E-6	-7.100000E-5	2.500000E-5	-8.000000E-6	-3.300000E-5	-3.800000E-5	-5.200000E-5	-1.400000E-5	-1.900000E-5	-1.400000E-5	5.000000E-6	1.900000E-5	-2.700000E-5	-4.600000E-5	-6.000000E-6	-2.000000E-5	-1.400000E-5	0.000000	-8.000000E-6	-8.000000E-6	0.000000	1.800000E-5	1.800000E-5	-3.800000E-5	-3.900000E-5	-1.000000E-6	0.000000	-1.400000E-5	-1.400000E-5	5.700000E-5	5.000000E-6	-5.200000E-5	-4.400000E-5	-1.000000E-6	4.300000E-5	-1.900000E-5	-1.000000E-6	1.800000E-5	-2.500000E-5	-5.200000E-5	-2.700000E-5	-6.000000E-6	-1.000000E-6	5.000000E-6	0.000000	1.200000E-5	1.200000E-5	-1.300000E-5	-4.600000E-5	-3.300000E-5	-1.900000E-5	-2.000000E-5	-1.000000E-6	-5.100000E-5	-2.700000E-5	2.400000E-5	-1.300000E-5	-2.700000E-5	-1.400000E-5	2.000000E-5	1.200000E-5	-8.000000E-6	-5.100000E-5	-4.600000E-5	5.000000E-6	2.600000E-5	-1.000000E-6	-2.700000E-5
3.609859E-8	-4.400000E-5	1.200000E-5	5.600000E-5	-2.600000E-5	-8.000000E-6	1.800000E-5	0.000000	-1.000000E-6	-1.000000E-6	6.300000E-5	5.000000E-6	-5.800000E-5	3.800000E-5	6.900000E-5	3.100000E-5	-6.000000E-6	1.800000E-5	2.400000E-5	4.500000E-5	3.100000E-5	-1.400000E-5	2.500000E-5	8.800000E-5	6.300000E-5	5.100000E-5	2.400000E-5	-2.700000E-5	1.900000E-5	5.600000E-5	3.700000E-5	1.900000E-5	5.600000E-5	3.700000E-5	0.000000	-1.400000E-5	-1.400000E-5	-9.000000E-5	-8.000000E-6	8.200000E-5	8.300000E-5	6.900000E-5	-1.400000E-5	-6.000000E-6	-2.000000E-5	-1.400000E-5	1.300000E-5	3.700000E-5	2.400000E-5	0.000000	-1.400000E-5	-1.400000E-5	6.000000E-6	2.400000E-5	1.800000E-5	-1.300000E-5	2.400000E-5	3.700000E-5	0.000000	-1.000000E-6	-1.000000E-6	0.000000	-8.000000E-6	-8.000000E-6	-2.600000E-5	2.400000E-5	5.000000E-5	7.000000E-5	5.000000E-5	-2.000000E-5	-2.000000E-5	-8.000000E-6	1.200000E-5	1.900000E-5	1.800000E-5	-1.000000E-6	1.900000E-5	-1.400000E-5	-3.300000E-5	-7.700000E-5	-1.400000E-5	6.300000E-5	0.000108	4.300000E-5	-6.500000E-5	-7.000000E-5	-1.000000E-6	6.900000E-5	1.300000E-5	3.100000E-5	1.800000E-5	3.800000E-5	2.400000E-5	-1.400000E-5
3.611812E-8	5.700000E-5	5.600000E-5	-1.000000E-6	-1.900000E-5	3.700000E-5	5.600000E-5	3.900000E-5	6.300000E-5	2.400000E-5	0.000114	9.400000E-5	-2.000000E-5	-7.000000E-5	5.000000E-6	7.500000E-5	-3.200000E-5	4.300000E-5	7.500000E-5	3.900000E-5	3.100000E-5	-8.000000E-6	7.000000E-6	8.200000E-5	7.500000E-5	-7.000000E-6	5.600000E-5	6.300000E-5	3.800000E-5	1.800000E-5	-2.000000E-5	-6.400000E-5	4.300000E-5	0.000107	3.900000E-5	3.100000E-5	-8.000000E-6	-6.400000E-5	2.400000E-5	8.800000E-5	7.000000E-6	3.100000E-5	2.400000E-5	5.100000E-5	7.500000E-5	2.400000E-5	-6.000000E-6	1.200000E-5	1.800000E-5	3.800000E-5	9.400000E-5	5.600000E-5	-4.400000E-5	1.200000E-5	5.600000E-5	0.000000	-1.000000E-6	-1.000000E-6	-8.300000E-5	-1.000000E-6	8.200000E-5	-4.500000E-5	1.800000E-5	6.300000E-5	0.000000	5.600000E-5	5.600000E-5	-2.500000E-5	1.800000E-5	4.300000E-5	-8.300000E-5	1.800000E-5	0.000101	3.800000E-5	5.000000E-5	1.200000E-5	5.700000E-5	2.400000E-5	-3.300000E-5	-3.800000E-5	1.200000E-5	5.000000E-5	7.600000E-5	8.800000E-5	1.200000E-5	2.500000E-5	2.400000E-5	-1.000000E-6	3.900000E-5	8.200000E-5	4.300000E-5	1.300000E-5	5.600000E-5	4.300000E-5
3.613766E-8	1.900000E-5	6.900000E-5	5.000000E-5	-1.900000E-5	6.900000E-5	8.800000E-5	5.100000E-5	7.500000E-5	2.400000E-5	3.900000E-5	3.100000E-5	-8.000000E-6	-6.000000E-6	0.000107	0.000113	-7.000000E-6	4.300000E-5	5.000000E-5	-0.000128	-8.000000E-6	0.000120	-0.000147	5.000000E-6	0.000152	-3.200000E-5	-1.000000E-6	3.100000E-5	3.200000E-5	8.200000E-5	5.000000E-5	-3.800000E-5	5.000000E-5	8.800000E-5	-7.000000E-6	5.600000E-5	6.300000E-5	-7.700000E-5	5.000000E-6	8.200000E-5	5.100000E-5	8.200000E-5	3.100000E-5	1.200000E-5	9.400000E-5	8.200000E-5	-2.500000E-5	1.800000E-5	4.300000E-5	-6.400000E-5	1.800000E-5	8.200000E-5	-7.000000E-5	-1.000000E-6	6.900000E-5	7.600000E-5	5.600000E-5	-2.000000E-5	1.900000E-5	-8.000000E-6	-2.700000E-5	6.400000E-5	6.900000E-5	5.000000E-6	2.500000E-5	4.300000E-5	1.800000E-5	-2.600000E-5	4.300000E-5	6.900000E-5	4.400000E-5	7.500000E-5	3.100000E-5	-3.800000E-5	3.100000E-5	6.900000E-5	1.900000E-5	9.400000E-5	7.500000E-5	2.500000E-5	7.500000E-5	5.000000E-5	2.000000E-5	6.300000E-5	4.300000E-5	-2.500000E-5	1.200000E-5	3.700000E-5	-2.000000E-5	4.300000E-5	6.300000E-5	-1.300000E-5	8.800000E-5	0.000101
3.615719E-8	6.400000E-5	6.300000E-5	-1.000000E-6	3.800000E-5	9.400000E-5	5.600000E-5	7.000000E-5	0.000107	3.700000E-5	2.500000E-5	0.000126	0.000101	2.600000E-5	8.200000E-5	5.600000E-5	6.000000E-6	0.000113	0.000107	1.900000E-5	7.500000E-5	5.600000E-5	-1.200000E-5	8.200000E-5	9.400000E-5	4.500000E-5	8.800000E-5	4.300000E-5	2.600000E-5	8.200000E-5	5.600000E-5	1.900000E-5	0.000120	0.000101	-7.000000E-5	6.300000E-5	0.000133	0.000102	0.000158	5.600000E-5	-2.000000E-5	0.000113	0.000133	-3.800000E-5	8.800000E-5	0.000126	1.900000E-5	0.000120	0.000101	4.500000E-5	0.000101	5.600000E-5	-3.800000E-5	5.600000E-5	9.400000E-5	4.500000E-5	6.900000E-5	2.400000E-5	7.000000E-6	5.000000E-5	4.300000E-5	-7.600000E-5	1.800000E-5	9.400000E-5	6.000000E-6	6.900000E-5	6.300000E-5	-5.100000E-5	5.600000E-5	0.000107	-2.500000E-5	5.000000E-5	7.500000E-5	0.000102	0.000120	1.800000E-5	-3.200000E-5	8.800000E-5	0.000120	5.700000E-5	0.000113	5.600000E-5	2.600000E-5	0.000101	7.500000E-5	1.900000E-5	8.200000E-5	6.300000E-5	3.200000E-5	8.800000E-5	5.600000E-5	-3.200000E-5	0.000120	0.000152
3.617672E-8	1.300000E-5	0.000101	8.800000E-5	7.600000E-5	0.000196	0.000120	6.400000E-5	0.000133	6.900000E-5	3.100000E-5	0.000164	0.000133	-2.500000E-5	8.800000E-5	0.000113	1.900000E-5	0.000113	9.400000E-5	1.300000E-5	0.000177	0.000164	2.600000E-5	0.000152	0.000126	0.000115	0.000171	5.600000E-5	3.800000E-5	0.000183	0.000145	-3.200000E-5	0.000101	0.000133	3.800000E-5	0.000171	0.000133	3.800000E-5	0.000139	0.000101	1.900000E-5	0.000171	0.000152	7.000000E-5	0.000190	0.000120	1.200000E-5	0.000164	0.000152	-3.200000E-5	0.000120	0.000152	-5.100000E-5	8.200000E-5	0.000133	-2.600000E-5	0.000113	0.000139	-7.000000E-6	0.000126	0.000133	-7.000000E-6	0.000113	0.000120	3.200000E-5	0.000152	0.000120	1.300000E-5	0.000133	0.000120	-3.800000E-5	0.000145	0.000183	3.800000E-5	0.000120	8.200000E-5	6.300000E-5	0.000164	0.000101	1.900000E-5	0.000139	0.000120	-1.900000E-5	0.000133	0.000152	-1.300000E-5	0.000113	0.000126	3.200000E-5	0.000152	0.000120	-3.900000E-5	9.400000E-5	0.000133
3.619625E-8	-2.500000E-5	0.000158	0.000183	-7.000000E-6	0.000196	0.000203	-7.000000E-6	0.000183	0.000190	-1.900000E-5	0.000177	0.000196	1.300000E-5	0.000158	0.000145	1.900000E-5	0.000139	0.000120	8.300000E-5	0.000196	0.000113	-1.300000E-5	0.000241	0.000254	1.300000E-5	0.000209	0.000196	1.300000E-5	0.000177	0.000164	-5.100000E-5	0.000101	0.000152	-2.600000E-5	0.000183	0.000209	1.900000E-5	0.000171	0.000152	5.100000E-5	0.000196	0.000145	1.300000E-5	0.000209	0.000196	1.300000E-5	0.000190	0.000177	-1.900000E-5	0.000196	0.000215	2.600000E-5	0.000203	0.000177	3.200000E-5	0.000203	0.000171	-3.200000E-5	0.000158	0.000190	1.900000E-5	0.000177	0.000158	-9.000000E-5	0.000164	0.000254	1.300000E-5	0.000171	0.000158	1.900000E-5	0.000164	0.000145	3.800000E-5	0.000196	0.000158	7.700000E-5	0.000190	0.000113	2.500000E-5	0.000215	0.000190	1.900000E-5	0.000190	0.000171	-1.900000E-5	0.000145	0.000164	1.300000E-5	0.000158	0.000145	2.500000E-5	0.000215	0.000190
3.621578E-8	-1.900000E-5	0.000228	0.000247	0.000000	0.000260	0.000260	-9.600000E-5	0.000183	0.000279	0.000000	0.000279	0.000279	-6.000000E-6	0.000209	0.000215	1.900000E-5	0.000273	0.000254	-1.900000E-5	0.000215	0.000234	1.900000E-5	0.000241	0.000222	2.500000E-5	0.000266	0.000241	5.700000E-5	0.000266	0.000209	2.500000E-5	0.000298	0.000273	0.000000	0.000292	0.000292	6.000000E-6	0.000260	0.000254	5.700000E-5	0.000317	0.000260	-1.300000E-5	0.000196	0.000209	-5.100000E-5	0.000273	0.000324	6.000000E-6	0.000228	0.000222	8.900000E-5	0.000285	0.000196	-1.900000E-5	0.000222	0.000241	1.200000E-5	0.000266	0.000254	7.000000E-6	0.000273	0.000266	7.000000E-6	0.000241	0.000234	1.900000E-5	0.000190	0.000171	-9.500000E-5	0.000203	0.000298	-2.500000E-5	0.000260	0.000285	0.000000	0.000247	0.000247	3.800000E-5	0.000228	0.000190	6.000000E-6	0.000228	0.000222	-2.500000E-5	0.000222	0.000247	-7.000000E-6	0.000304	0.000311	-1.300000E-5	0.000266	0.000279
